age,sex,job,housing,saving_accounts,credit_amount,duration,purpose,risk,income,education,marital_status,number_of_children,credit_score,credit_assignment
49,male,2,free,little,47177.738398956615,24,car,good,459897.4439376575,High School Diploma,Married,3,Average,Yes
26,female,1,rent,rich,68983.14286380538,30,business,bad,244014.65928108356,Bachelor's Degree,Married,2,Low,No
23,female,2,rent,little,36526.30830306443,30,furniture/equipment,bad,1422278.7917269885,Doctorate,Single,3,Average,No
34,male,1,free,little,59408.86665158143,48,business,bad,462806.261230555,Bachelor's Degree,Single,3,Average,No
40,male,3,own,quite rich,63768.39105440413,30,car,good,921474.412678506,Master's Degree,Single,0,Low,No
28,male,1,own,little,45386.9167336656,21,car,good,46279.13831747301,Doctorate,Single,0,Low,No
28,male,2,own,quite rich,11829.66537409232,12,radio/TV,good,1361239.017295867,Associates's Degree,Married,0,High,Yes
24,female,2,rent,little,69567.12432678867,48,business,bad,123120.7896992624,Bachelor's Degree,Married,0,High,No
49,male,2,own,little,18022.08356410225,9,radio/TV,good,759390.6135044601,Associates's Degree,Single,1,High,Yes
26,female,2,own,little,22450.134802957466,12,car,bad,922846.1893191192,Doctorate,Married,2,Average,Yes
25,male,2,own,moderate,122009.15721315112,30,business,good,108377.71071958398,High School Diploma,Married,0,High,Yes
37,male,1,own,moderate,53670.18294435868,12,education,good,1116411.7514659974,Associates's Degree,Married,1,Low,No
40,male,2,own,little,44079.38210625515,22,radio/TV,good,1302587.7909234157,Master's Degree,Married,3,Low,No
34,female,2,own,moderate,23788.831915381998,12,radio/TV,good,194454.4411545051,Bachelor's Degree,Married,0,Average,No
28,female,3,own,little,50566.35739084868,36,furniture/equipment,bad,989839.6289962424,High School Diploma,Single,2,High,Yes
26,female,3,rent,quite rich,71784.66298834828,30,radio/TV,good,1263983.2973250437,Master's Degree,Married,3,Average,Yes
36,male,2,own,little,34751.02111345594,30,car,good,477842.2302910279,High School Diploma,Single,3,Low,Yes
26,female,3,rent,moderate,89538.84315067121,24,car,good,1388014.3984832098,Associates's Degree,Single,3,High,Yes
41,male,2,own,little,100930.1731468162,18,furniture/equipment,good,1029921.6325888318,Master's Degree,Married,1,Average,No
30,male,3,own,little,29834.843326493283,30,radio/TV,bad,935631.045003189,High School Diploma,Married,0,Low,Yes
48,male,1,rent,little,35126.84304884855,10,car,good,63826.24655412396,Doctorate,Married,1,High,Yes
35,male,2,own,little,63428.99909654937,24,furniture/equipment,good,1216667.3145440505,High School Diploma,Married,2,Average,No
24,female,2,rent,quite rich,20220.423340185305,15,domestic appliances,bad,225981.1314579427,Bachelor's Degree,Single,1,High,Yes
22,male,2,free,little,60666.820682046426,14,car,good,132624.9561877113,Associates's Degree,Single,3,High,Yes
35,male,0,own,quite rich,24600.9605960252,9,car,good,210627.86503581636,Bachelor's Degree,Married,2,Average,Yes
41,male,1,own,little,13952.872024165936,12,car,bad,73279.78854963553,Associates's Degree,Married,2,High,Yes
42,male,3,own,moderate,163555.3459157971,60,car,good,1135549.8444088816,Doctorate,Single,1,High,No
27,male,2,own,quite rich,22616.10256475713,9,business,good,74649.05868109208,Doctorate,Married,1,High,No
23,male,2,own,quite rich,14214.0953961723,13,radio/TV,good,655395.3657968941,Associates's Degree,Married,2,Low,Yes
26,male,2,rent,little,36849.23958231664,12,car,good,135695.68787076423,Bachelor's Degree,Married,0,High,No
54,male,2,free,little,25585.70160722488,24,education,good,1334233.120435572,Doctorate,Married,0,High,No
61,male,3,free,little,31201.105677193,36,business,bad,105492.46246626887,Master's Degree,Married,2,High,Yes
35,male,3,own,little,17079.95376481609,6,furniture/equipment,good,897368.8222573193,Doctorate,Married,0,Average,No
36,male,2,own,little,19289.088591689386,15,domestic appliances,good,81676.59996080282,Master's Degree,Single,0,High,Yes
50,female,1,own,little,16683.992221431723,6,education,good,745108.3095960418,High School Diploma,Single,3,Average,No
22,female,2,rent,quite rich,36667.30729514445,9,furniture/equipment,good,1083381.0571586594,High School Diploma,Married,0,Low,No
28,male,2,own,little,16486.377526987395,6,radio/TV,good,168497.3363684818,Doctorate,Married,3,Low,No
29,male,2,own,moderate,112502.52942555957,36,education,bad,47044.16834470372,Bachelor's Degree,Married,1,Average,No
36,male,3,free,little,30828.93804775584,18,radio/TV,good,982577.6734241024,Doctorate,Married,3,Low,No
22,female,2,own,moderate,12233.011830810708,12,domestic appliances,bad,544278.5214661552,Associates's Degree,Single,0,High,Yes
30,male,2,free,little,44816.10312737984,36,car,good,261368.6419758664,Associates's Degree,Single,1,Average,No
28,male,3,own,quite rich,64421.00255737654,30,car,bad,177255.12941117494,High School Diploma,Single,0,Low,No
23,male,1,own,little,39725.04984427459,27,radio/TV,bad,809224.1944671501,Bachelor's Degree,Married,2,High,Yes
33,male,2,own,little,80559.20068332899,24,furniture/equipment,good,1150396.1731730534,Bachelor's Degree,Single,3,High,Yes
37,male,2,free,little,37387.23386941171,12,radio/TV,good,51972.802889518665,Bachelor's Degree,Single,3,Average,Yes
26,female,1,rent,rich,68818.97444556712,30,business,bad,229726.5568490449,Bachelor's Degree,Married,2,Low,No
26,female,3,rent,moderate,88912.57838086315,24,car,good,1446086.5656201236,Associates's Degree,Single,3,High,Yes
22,male,2,free,little,50037.59372717014,24,furniture/equipment,good,1349070.2157485606,Doctorate,Single,0,Low,No
25,male,2,own,moderate,128873.5735628318,30,business,good,108342.13932474004,High School Diploma,Married,0,High,Yes
23,female,2,rent,quite rich,33266.17409669109,10,furniture/equipment,good,320271.3913094168,Bachelor's Degree,Single,0,Average,No
20,male,3,rent,little,17999.78802197618,12,radio/TV,good,558018.4992140615,Bachelor's Degree,Single,1,Low,Yes
32,male,1,own,little,20091.48931838683,18,radio/TV,good,919864.3976992264,Associates's Degree,Married,2,Average,Yes
39,male,2,own,little,22753.25565102865,18,radio/TV,good,41183.31888260919,Master's Degree,Married,3,High,No
58,male,2,rent,little,243632.9540133783,54,business,bad,81755.77267408499,Doctorate,Married,1,High,No
28,female,1,own,little,11458.20042157982,9,radio/TV,bad,1073950.7421881366,High School Diploma,Married,0,Low,Yes
36,male,3,rent,moderate,111386.34013069098,24,business,good,47993.12697115351,High School Diploma,Single,0,Average,Yes
27,female,1,own,little,55395.52475164266,15,furniture/equipment,good,554214.3723568,High School Diploma,Married,3,Average,Yes
54,female,2,rent,little,115751.18311613922,36,car,good,381885.9380935914,Associates's Degree,Single,1,High,No
30,male,2,rent,little,27809.536560267803,6,radio/TV,good,483318.4012100685,Associates's Degree,Married,2,High,No
61,male,1,own,little,49857.32901569686,12,radio/TV,good,75014.84873159033,Master's Degree,Married,2,High,Yes
48,female,1,free,little,18678.17268227438,10,car,bad,661508.7580631588,Associates's Degree,Single,2,High,No
32,male,2,free,quite rich,17738.91815613161,9,education,bad,1038722.5075619326,Master's Degree,Single,0,High,No
26,male,2,own,little,32040.088527253527,10,furniture/equipment,good,21926.792759980755,High School Diploma,Single,0,Low,Yes
50,female,1,own,moderate,16855.213821500933,6,education,good,771736.9685508044,High School Diploma,Single,3,Average,No
39,male,2,own,little,36114.553040831255,36,radio/TV,good,114244.59180392385,High School Diploma,Married,0,High,Yes
36,male,2,free,little,13722.424649202894,7,radio/TV,good,1097261.6484861416,High School Diploma,Married,1,Low,No
32,male,1,free,little,21782.29736328794,18,car,bad,631304.367965255,Associates's Degree,Married,3,High,No
24,male,1,rent,little,28888.990925405305,12,furniture/equipment,good,50936.31609182655,Bachelor's Degree,Single,0,Average,Yes
43,male,3,own,rich,39526.794559069865,27,business,good,1504252.8742733088,Master's Degree,Single,3,High,Yes
52,male,2,own,little,35963.06513278741,24,radio/TV,good,228019.10113278392,Doctorate,Single,3,High,Yes
38,male,2,own,little,11356.663360243789,12,education,good,406824.9548238132,High School Diploma,Married,1,High,No
37,female,2,own,quite rich,57426.25108798533,18,furniture/equipment,good,563970.8255761312,High School Diploma,Single,2,Low,No
26,female,1,own,little,18042.485954783504,18,radio/TV,good,1238137.8696316883,Bachelor's Degree,Married,0,High,No
63,male,2,own,quite rich,45520.82842405956,24,car,good,1072923.294392954,Associates's Degree,Married,2,Low,No
22,female,2,rent,rich,28886.05882974869,12,furniture/equipment,good,1015375.3086203706,High School Diploma,Married,2,Average,Yes
37,male,2,own,little,63235.27065700857,24,car,good,1156352.195531511,High School Diploma,Single,1,Average,Yes
41,male,3,own,little,101206.84717271956,24,car,good,1393483.2561257614,Doctorate,Married,1,Average,Yes
47,male,2,own,moderate,48726.49447380565,30,radio/TV,good,1115921.742459834,Associates's Degree,Single,2,Average,Yes
44,female,3,free,little,196479.95653488504,24,car,bad,28127.19320215741,Associate's Degree,Single,0,Low,Yes
32,male,3,own,little,9729.318853866273,18,radio/TV,good,800891.7095630792,Bachelor's Degree,Single,3,Low,Yes
27,male,2,own,little,133922.38958662903,27,car,good,89844.17779397838,Master's Degree,Married,2,High,Yes
27,male,2,own,little,133146.16186163935,24,business,bad,128792.85354140944,Associates's Degree,Married,3,Low,Yes
22,male,2,own,moderate,23696.47850692383,9,radio/TV,bad,232776.600331873,Bachelor's Degree,Single,1,High,No
22,female,2,rent,little,29502.36754873838,12,furniture/equipment,good,990430.7047206789,High School Diploma,Married,2,Average,Yes
28,female,2,rent,rich,42924.93573108374,24,car,good,1105106.6960361232,High School Diploma,Single,0,Low,Yes
24,female,2,rent,quite rich,33170.34570629372,18,furniture/equipment,bad,566085.3578607558,Master's Degree,Married,3,High,Yes
50,male,2,own,little,58479.36760244493,24,furniture/equipment,good,984049.3783348316,Master's Degree,Single,0,Low,No
25,female,1,own,little,43372.2318142443,15,repairs,good,419342.9831855053,High School Diploma,Single,2,Low,Yes
38,male,2,own,rich,96831.6345704137,30,radio/TV,good,826836.6119152962,Associates's Degree,Married,3,High,No
36,male,2,own,little,36091.47186020371,36,radio/TV,good,140718.39402159257,Master's Degree,Married,0,High,No
26,female,2,rent,little,50631.032672940295,18,furniture/equipment,bad,83277.16283407864,Doctorate,Single,0,Average,No
44,male,2,free,little,160407.9730019092,48,car,bad,309136.26636205177,Doctorate,Single,3,High,No
26,female,2,rent,little,50117.14920787419,18,furniture/equipment,bad,80082.84017977095,Doctorate,Single,0,Average,No
45,male,3,own,little,110531.53680699956,6,car,good,1208899.3149178205,High School Diploma,Single,2,High,No
31,male,2,rent,quite rich,49765.88574447719,24,business,bad,347600.44639923255,Doctorate,Married,0,High,No
49,male,2,rent,rich,91476.17748074592,12,furniture/equipment,good,1118726.3317439444,Doctorate,Single,3,Average,No
29,female,0,own,little,63775.9969287073,36,domestic appliances,good,177780.64871010766,Associates's Degree,Married,0,Average,No
35,male,3,own,little,16278.401386020478,6,furniture/equipment,good,916411.1430796296,Doctorate,Married,0,Average,No
52,male,2,own,moderate,14922.791936408954,9,education,good,26533.98645296474,High School Diploma,Single,3,High,Yes
46,male,2,own,little,36850.08600845275,36,furniture/equipment,good,474289.7314728573,Master's Degree,Married,3,High,No
31,female,2,own,little,29663.321302784312,6,radio/TV,good,796575.9261858866,Bachelor's Degree,Married,1,High,No
36,male,2,free,quite rich,13964.237037339582,7,radio/TV,good,1053070.891965112,High School Diploma,Married,1,Low,No
36,male,2,own,little,48263.505289001005,36,car,good,1055479.6396710495,High School Diploma,Married,2,Average,Yes
42,male,2,free,little,83205.55782357485,36,car,good,912675.707377112,Associates's Degree,Married,0,Average,Yes
25,male,2,own,little,24120.94073758634,12,radio/TV,bad,1075751.227510604,Associates's Degree,Single,2,High,No
31,male,2,own,little,47299.77650528747,18,business,good,69024.63777278936,Master's Degree,Single,1,Average,No
25,male,2,own,rich,14942.703417843506,15,furniture/equipment,good,1395427.6150399295,Doctorate,Single,1,Average,No
30,female,2,own,little,26037.59166437089,12,furniture/equipment,good,443488.5662384196,Master's Degree,Single,3,Low,Yes
28,male,2,own,little,21290.767966633422,6,car,good,108180.78395016238,Bachelor's Degree,Single,2,High,Yes
43,male,2,own,little,61422.1958842122,24,car,good,1264383.7687910742,Master's Degree,Single,3,Low,Yes
36,male,3,rent,little,109966.05219825314,20,car,good,46720.02168305456,Associate's Degree,Single,0,Average,No
64,female,2,own,moderate,22133.11449540108,10,car,good,1300857.1363129306,High School Diploma,Married,2,Low,No
